comment_text,comment_speed,comment_service,comment_taste,comment_time
Dürüm kup kuruydu ya resmen hiç tat alamadım dürüm den.,8.0,8.0,1.0,1604089770
Fiyat artışı yapmak yerine menemenin gramajını azaltmışlar. Vazgeçilse keşke bu tür şeylerden.,8.0,1.0,7.0,1604089770
40 dakika civari geldi lezzet olarak cok güzeldi fakat içeçeğim yanlış geldi birdakine daha dikkatli olunursa sevinirim.,5.0,4.0,7.0,1604089770
Siparişim eksik geldi. Sipariş etmiş olduğum limonlu maden suyu gelmedi.,7.0,1.0,7.0,1604089770
Baya güzel.,10.0,10.0,10.0,1604089770
"Börekler yanık, köfte sandviç yerine yarım ekmek arası 4 minyatür köfte geldi. Lezzet yok. Burda olmayı hak etmiyor maalesef.",1.0,1.0,1.0,1601460024
"2 kere notlara ketçap mayonez olmasın diye yazmama rağmen, yine aksini yaparak gönderiyorlar.",10.0,8.0,4.0,1601460024
Böyle bir lezzet ve paket hızı mükemmel bir hizmet ve lezzet helal olsun verilen paraya bol ve bereketli kazanclar dilerim.,10.0,10.0,10.0,1601460024
Tas arasi patates gibi ve ketcap mayonez koyulmamis.,7.0,6.0,5.0,1601460024
Menemen ambalajlaması hala özensiz. Geldiğinde patlamış şekildeydi ve yağlar poşetin içine vs her yere bulaştı.,7.0,1.0,7.0,1601460024
Berbat kesinlikle bir sipariş bukadar kötü hazırlanabilirdi menüde kola var ama gelmedi.,1.0,1.0,1.0,1601460024
Adı gibi temiz özenli ve lezzetli teşekkürler.,8.0,9.0,10.0,1601460024
Menüler iyide ekstre acı biber istedik kaç defa unutuluyor yazdığımız halde unutulmazsa süper olue.,4.0,4.0,6.0,1601460024
Adı gibi tertemis bir mutfak ve çok lezzetli tatları bir arada barındıran menüsü var. Enerjileri hep yüksek harika bir işletme.,10.0,10.0,10.0,1601460024
Siparişim geldiğinde birbirine girmiş durumdaydı kahvaltılık için verdiğim sipariş resmen tarhana çorbası olmuştu diyecek bişey yok.,7.0,4.0,5.0,1598830279
Paket kapağı açılıp bütün yağ poşet içerisine dağılmış ekmek ıslanmış özen hiç gösterilmemiş.,4.0,1.0,3.0,1598830279
Uzun süredir yenidiğim en iyi soslu dürümdü diyebilirim ustanım ellerine sağlık.,8.0,9.0,10.0,1598830279
Hersey güzel di ama soğuk geldi.,5.0,8.0,5.0,1598830279
İyi.,8.0,8.0,8.0,1598830279
Süper.,9.0,10.0,10.0,1598830279
Yanında içicek olmadan o dürümü bitiremezsınız.,9.0,9.0,3.0,1598830279
Gayet iyi.,7.0,7.0,7.0,1598830279
Hamburger biraz küçük onun dışında iyi.,7.0,7.0,7.0,1598830279
Çok lezzetliydi elinize sağlık.,10.0,10.0,10.0,1598830279
1 saate geldi.,1.0,8.0,8.0,1598830279
Adı gibi temiz bi yer lezzetide yerinde.,8.0,9.0,9.0,1598830279
"Beklediğim gibiydi, elinize sağlık teşekkürler. Bazı arkadaşlar 10 lira verip 100 liralık memnuniyet bekliyorlar o yüzden hayal kırıklığı yaşıyorlar bence.",10.0,10.0,10.0,1598830279
En iyisi değil belki ama kesinlikle 2. En iyi patso. Düzenli alışveriş yapmış olduğum yere zorlayıcı bir alternatif.,9.0,8.0,8.0,1598830279
"Hız iyiservis kötü, zero istememe rağmen normal kola geldi üstelik kola şişesi ezilmiştilezzeti normal hamburger cheeseburger lezzeti normal ama fiyatına karşılık hamburger etleri küçükpatatesler evde yaptıklarınız gibi restoran patatesi lezzeti ve kalitesi yok ve patatesler az geliyor.",10.0,5.0,7.0,1598830279
Kullandıkları garnitür çok diri çiğ gibi değiştirmelerini öneririm tavuk dürüm özel soslu diye söyledik çok kuruydu.,9.0,9.0,9.0,1598830279
Herzamanki gibi tost harika.,10.0,10.0,10.0,1596200533
1 saatte sipariş gelebiliyor. Telefondaki ilgisiz.,1.0,1.0,7.0,1596200533
İdare eder tavuklar az gibiydi.,7.0,7.0,6.0,1596200533
Oğlum için cheese burger söyledim çok beğenmiş elinize sağlık.,10.0,10.0,10.0,1596200533
Verdiğim sipariş ile gelen arasında çok fark var.,2.0,1.0,1.0,1596200533
Ayvalık tostunun gerçeği ile sizinki arasında çok fark var ama yine de titizlikle hazırlanmış sandviç yemiş oldum. Kavurmalı tostunyz müthiş.,9.0,9.0,10.0,1596200533
Sipariş kaşarlı menemendi normal menemen geldi. İçinden çatal çıkmadı.,9.0,4.0,4.0,1596200533
Patates kızartması ve sigara böreğinin yanmış yağda kızartılması hoş değil o yüzden 1.,8.0,5.0,1.0,1596200533
Lezzet ortalama hızlı ve sıcak geldi. Patatese konulan çeşni fazla tuzluydu.,10.0,10.0,7.0,1596200533
Daha hızlı gelebilirdi.,5.0,7.0,8.0,1596200533
Biraz daha dikkat edilse daha iyi olur.,7.0,7.0,7.0,1596200533
"Gayet güzeldi hamburger menü çok lezzetliydi, teşekkür ederim elinize sağlık.",10.0,10.0,10.0,1596200533
Menemenin yanında ekmek göndermeyi unutmazsanız daha iyi olur hayırlı işler kolay gelsin.,10.0,4.0,8.0,1596200533
Sosisli berbattı ama tost çok iyi.,10.0,10.0,5.0,1596200533
Kıymalı yumurta söyledim yanında ekmek gelmedi porsiyonu küçüktü.,8.0,3.0,3.0,1596200533
Siparişim yaklaşık 90dakika sonra bana ulaştı.,1.0,6.0,4.0,1596200533
Müthiş lezzet.,10.0,10.0,10.0,1596200533
Teşekkürler.,10.0,10.0,10.0,1596200533
"Ayvalikta sosis salamdan cok garnitür vardi, donerin lavasi çiğköfte isiydi.",8.0,8.0,1.0,1596200533
Herşey çok lezzetliydi. Sipariş çabuk geldi. Sadece kokoreç biraz az gibiydi ama lezzeti güzeldi. Ellerinize sağlık teşekkürler.,10.0,10.0,10.0,1596200533
Önceki siparişlerime göre kötüydü. Daha iyisini yaptığınızı biliyorum.,6.0,10.0,4.0,1596200533
Sosisli çok güzeldi.,10.0,10.0,10.0,1593570787
"Siparişim 1 saat 10 dk sonra bana ulaştı. Karışık meyve suyu istemiştim şeftali, sigara böreği istemiştim marketlerde satılan dondurulmuş mini peynirli börek geldi. Kesinlikle önermiyorum.",1.0,1.0,1.0,1593570787
Çok lezzetliydi elinize sağlık.,10.0,10.0,10.0,1593570787
İstediğim sipariş gelmedi başka sipariş geldi.,1.0,1.0,1.0,1593570787
Hayatımda yediğim en kötü menemen di kabuğunu soymaya bile uğraşmamıssınız.,7.0,1.0,1.0,1593570787
Aa.,10.0,10.0,10.0,1593570787
Eh.,7.0,7.0,7.0,1593570787
İyiydi.,9.0,9.0,8.0,1593570787
Vallahi on numaraydi sıcacıktı ve lezzetliydi.,10.0,10.0,10.0,1593570787
"Hızlı geldi, lezzetliydi. Teşekkürler.",10.0,10.0,10.0,1593570787
Hızlı ve güzeldi.,10.0,10.0,10.0,1593570787
Kiyakli.,9.0,9.0,9.0,1590941041
